"","ZCTA5CE10","GEOID10","ssp_count","needle_binary"
"14462","06092","06092",0,FALSE
"14463","06093","06093",0,FALSE
"14464","06095","06095",0,FALSE
"14465","06096","06096",0,FALSE
"14466","06098","06098",0,FALSE
"14467","48201","48201",0,FALSE
"14468","38928","38928",0,FALSE
"14469","38929","38929",0,FALSE
"14470","48202","48202",0,FALSE
"14471","32222","32222",0,FALSE
"14472","40740","40740",0,FALSE
"14473","60148","60148",0,FALSE
"14474","60150","60150",0,FALSE
"14475","60151","60151",0,FALSE
"14476","40741","40741",0,FALSE
"14477","40743","40743",0,FALSE
"14478","60152","60152",0,FALSE
"14479","40744","40744",0,FALSE
"14480","40759","40759",0,FALSE
"14481","40763","40763",0,FALSE
"14482","60153","60153",0,FALSE
"14483","32233","32233",0,FALSE
"14484","32234","32234",0,FALSE
"14485","32244","32244",0,FALSE
"14486","32246","32246",0,FALSE
"14487","32250","32250",0,FALSE
"14488","32254","32254",0,FALSE
"14489","03263","03263",0,FALSE
"14490","03264","03264",0,FALSE
"14491","03266","03266",0,FALSE
"14492","03268","03268",0,FALSE
"14493","03269","03269",0,FALSE
"14494","03273","03273",0,FALSE
"14495","03275","03275",0,FALSE
"14496","03276","03276",0,FALSE
"14497","03278","03278",0,FALSE
"14498","03279","03279",0,FALSE
"14499","03280","03280",0,FALSE
"14500","03281","03281",0,FALSE
"14501","03282","03282",0,FALSE
"14502","03284","03284",0,FALSE
"14503","03285","03285",0,FALSE
"14504","03287","03287",0,FALSE
"14505","03290","03290",0,FALSE
"14506","03291","03291",0,FALSE
"14507","03293","03293",0,FALSE
"14508","11363","11363",0,FALSE
"14509","11364","11364",0,FALSE
"14510","11365","11365",0,FALSE
"14511","11366","11366",0,FALSE
"14512","11367","11367",0,FALSE
"14513","11368","11368",0,FALSE
"14514","11369","11369",0,FALSE
"14515","58041","58041",0,FALSE
"14516","58042","58042",0,FALSE
"14517","58043","58043",0,FALSE
"14518","63390","63390",0,FALSE
"14519","58045","58045",0,FALSE
"14520","58046","58046",0,FALSE
"14521","58047","58047",0,FALSE
"14522","63401","63401",0,FALSE
"14523","58048","58048",0,FALSE
"14524","63430","63430",0,FALSE
"14525","63431","63431",0,FALSE
"14526","58049","58049",0,FALSE
"14527","63432","63432",0,FALSE
"14528","63433","63433",0,FALSE
"14529","58051","58051",0,FALSE
"14530","63434","63434",0,FALSE
"14531","58052","58052",0,FALSE
"14532","63435","63435",0,FALSE
"14533","58053","58053",0,FALSE
"14534","63436","63436",0,FALSE
"14535","63437","63437",0,FALSE
"14536","63438","63438",0,FALSE
"14537","63439","63439",0,FALSE
"14538","58054","58054",0,FALSE
"14539","63440","63440",0,FALSE
"14540","58056","58056",0,FALSE
"14541","58057","58057",0,FALSE
"14542","63441","63441",0,FALSE
"14543","58058","58058",0,FALSE
"14544","63443","63443",0,FALSE
"14545","58059","58059",0,FALSE
"14546","58060","58060",0,FALSE
"14547","58061","58061",0,FALSE
"14548","63445","63445",0,FALSE
"14549","58062","58062",0,FALSE
"14550","62206","62206",0,FALSE
"14551","53950","53950",0,FALSE
